ISRC,name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
USDPK1302610,Rip Her To Shreds - Rerecorded 2014 Version,Blondie,0.574,0.772,9,-5.741,1,0.0284,0.0279,0.0,0.316,0.83,122.666,audio_features,3GW1xHG3ypKH1tykgV9q9h,spotify:track:3GW1xHG3ypKH1tykgV9q9h,https://api.spotify.com/v1/tracks/3GW1xHG3ypKH1tykgV9q9h,https://api.spotify.com/v1/audio-analysis/3GW1xHG3ypKH1tykgV9q9h,198947,4
USUM71713419,Framed,Eminem,0.744,0.827,7,-2.972,1,0.113,0.0136,0.0,0.272,0.735,145.972,audio_features,4UTpObwAYO67yymOoCeXwS,spotify:track:4UTpObwAYO67yymOoCeXwS,https://api.spotify.com/v1/tracks/4UTpObwAYO67yymOoCeXwS,https://api.spotify.com/v1/audio-analysis/4UTpObwAYO67yymOoCeXwS,252960,4
USMO19682942,Steelo,702,0.767,0.731,8,-8.109,0,0.114,0.103,0.00364,0.102,0.678,90.997,audio_features,5OQO6NEs89flntUWPtXUiG,spotify:track:5OQO6NEs89flntUWPtXUiG,https://api.spotify.com/v1/tracks/5OQO6NEs89flntUWPtXUiG,https://api.spotify.com/v1/audio-analysis/5OQO6NEs89flntUWPtXUiG,257960,4
USRC11902562,Do You Hear What I Hear?,Pentatonix,0.316,0.714,8,-4.981,1,0.0387,0.00931,0.0,0.117,0.306,72.785,audio_features,2QEJNfOrRjC4O1msrVXJo4,spotify:track:2QEJNfOrRjC4O1msrVXJo4,https://api.spotify.com/v1/tracks/2QEJNfOrRjC4O1msrVXJo4,https://api.spotify.com/v1/audio-analysis/2QEJNfOrRjC4O1msrVXJo4,213880,4
USMC19901583,This Christmas,Reba McEntire,0.6,0.306,5,-13.558,1,0.0312,0.066,0.0,0.187,0.247,118.778,audio_features,4OMd3nYmYFemHUYhGOlPOU,spotify:track:4OMd3nYmYFemHUYhGOlPOU,https://api.spotify.com/v1/tracks/4OMd3nYmYFemHUYhGOlPOU,https://api.spotify.com/v1/audio-analysis/4OMd3nYmYFemHUYhGOlPOU,232000,4
USRC11901801,"Long Black Limousine - Takes 1, 2, 3 & 5",Elvis Presley,0.383,0.172,7,-19.921,1,0.0435,0.72,0.0108,0.371,0.209,78.542,audio_features,2V65oecfTVg7YpELRdHtqe,spotify:track:2V65oecfTVg7YpELRdHtqe,https://api.spotify.com/v1/tracks/2V65oecfTVg7YpELRdHtqe,https://api.spotify.com/v1/audio-analysis/2V65oecfTVg7YpELRdHtqe,281267,4
CAC229800164,Falling Into You,Céline Dion,0.371,0.505,2,-9.052,0,0.0314,0.382,0.0,0.115,0.564,193.246,audio_features,7KWMxUH7lORLTob6aMpXBU,spotify:track:7KWMxUH7lORLTob6aMpXBU,https://api.spotify.com/v1/tracks/7KWMxUH7lORLTob6aMpXBU,https://api.spotify.com/v1/audio-analysis/7KWMxUH7lORLTob6aMpXBU,258240,4
QZS7J2273700,I'm From 21st Street,Snoop Dogg,0.707,0.601,10,-5.061,0,0.171,0.0467,0.0,0.177,0.357,103.084,audio_features,34LfKSiRgJbMDVT99DQwfI,spotify:track:34LfKSiRgJbMDVT99DQwfI,https://api.spotify.com/v1/tracks/34LfKSiRgJbMDVT99DQwfI,https://api.spotify.com/v1/audio-analysis/34LfKSiRgJbMDVT99DQwfI,195787,4
USTB10250000,O.P.P,Naughty By Nature,0.848,0.838,4,-11.949,0,0.0721,0.0326,4.89e-06,0.124,0.787,97.736,audio_features,1k28sDTLOz942qa3wEtMQE,spotify:track:1k28sDTLOz942qa3wEtMQE,https://api.spotify.com/v1/tracks/1k28sDTLOz942qa3wEtMQE,https://api.spotify.com/v1/audio-analysis/1k28sDTLOz942qa3wEtMQE,271067,4
USBB40580876,Is This the End (Pt. 2) (feat. Twista),Diddy,0.472,0.858,8,-6.263,1,0.281,0.123,0.0,0.189,0.707,72.031,audio_features,5GgeOAiiaPPXTTKrLIOolH,spotify:track:5GgeOAiiaPPXTTKrLIOolH,https://api.spotify.com/v1/tracks/5GgeOAiiaPPXTTKrLIOolH,https://api.spotify.com/v1/audio-analysis/5GgeOAiiaPPXTTKrLIOolH,279057,4
